episode,brief,trigger,action,reward
0,form-to-endpoint,emailReadImap,readWriteFile,0.0
1,morning-metrics,scheduleTrigger,slack,0.5
2,email-archiver,webhook,httpRequest,0.0
3,rss-alert,webhook,slack,0.5
4,form-to-endpoint,rssFeedTrigger,googleSheets,0.0
5,morning-metrics,rssFeedTrigger,googleSheets,0.5
6,email-archiver,emailReadImap,slack,0.5
7,rss-alert,emailReadImap,readWriteFile,0.0
8,form-to-endpoint,emailReadImap,readWriteFile,0.0
9,morning-metrics,rssFeedTrigger,httpRequest,0.0
10,email-archiver,rssFeedTrigger,readWriteFile,0.5
11,rss-alert,webhook,readWriteFile,0.0
12,form-to-endpoint,rssFeedTrigger,googleSheets,0.0
13,morning-metrics,webhook,readWriteFile,0.0
14,email-archiver,emailReadImap,googleSheets,0.5
15,rss-alert,webhook,readWriteFile,0.0
16,form-to-endpoint,rssFeedTrigger,httpRequest,0.5
17,morning-metrics,scheduleTrigger,googleSheets,1.0
18,email-archiver,emailReadImap,googleSheets,0.5
19,rss-alert,scheduleTrigger,googleSheets,0.0
20,form-to-endpoint,webhook,readWriteFile,0.5
21,morning-metrics,webhook,googleSheets,0.5
22,email-archiver,emailReadImap,readWriteFile,1.0
23,rss-alert,emailReadImap,slack,0.5
24,form-to-endpoint,scheduleTrigger,slack,0.0
25,morning-metrics,scheduleTrigger,googleSheets,1.0
26,email-archiver,rssFeedTrigger,readWriteFile,0.5
27,rss-alert,rssFeedTrigger,readWriteFile,0.5
28,form-to-endpoint,emailReadImap,httpRequest,0.5
29,morning-metrics,scheduleTrigger,slack,0.5
30,email-archiver,emailReadImap,readWriteFile,1.0
31,rss-alert,emailReadImap,httpRequest,0.0
32,form-to-endpoint,webhook,googleSheets,0.5
33,morning-metrics,scheduleTrigger,googleSheets,1.0
34,email-archiver,emailReadImap,readWriteFile,1.0
35,rss-alert,scheduleTrigger,slack,0.5
36,form-to-endpoint,webhook,httpRequest,1.0
37,morning-metrics,emailReadImap,googleSheets,0.5
38,email-archiver,emailReadImap,readWriteFile,1.0
39,rss-alert,emailReadImap,httpRequest,0.0
40,form-to-endpoint,webhook,httpRequest,1.0
41,morning-metrics,scheduleTrigger,googleSheets,1.0
42,email-archiver,emailReadImap,readWriteFile,1.0
43,rss-alert,emailReadImap,slack,0.5
44,form-to-endpoint,webhook,readWriteFile,0.5
45,morning-metrics,emailReadImap,googleSheets,0.5
46,email-archiver,emailReadImap,readWriteFile,1.0
47,rss-alert,rssFeedTrigger,slack,1.0
48,form-to-endpoint,webhook,httpRequest,1.0
49,morning-metrics,scheduleTrigger,googleSheets,1.0
50,email-archiver,emailReadImap,readWriteFile,1.0
51,rss-alert,scheduleTrigger,slack,0.5
52,form-to-endpoint,emailReadImap,httpRequest,0.5
53,morning-metrics,scheduleTrigger,googleSheets,1.0
54,email-archiver,emailReadImap,readWriteFile,1.0
55,rss-alert,scheduleTrigger,googleSheets,0.0
56,form-to-endpoint,webhook,googleSheets,0.5
57,morning-metrics,scheduleTrigger,googleSheets,1.0
58,email-archiver,emailReadImap,readWriteFile,1.0
59,rss-alert,webhook,slack,0.5
60,form-to-endpoint,webhook,httpRequest,1.0
61,morning-metrics,scheduleTrigger,httpRequest,0.5
62,email-archiver,scheduleTrigger,readWriteFile,0.5
63,rss-alert,rssFeedTrigger,slack,1.0
64,form-to-endpoint,webhook,httpRequest,1.0
65,morning-metrics,scheduleTrigger,googleSheets,1.0
66,email-archiver,emailReadImap,readWriteFile,1.0
67,rss-alert,rssFeedTrigger,slack,1.0
68,form-to-endpoint,webhook,httpRequest,1.0
69,morning-metrics,scheduleTrigger,slack,0.5
70,email-archiver,emailReadImap,readWriteFile,1.0
71,rss-alert,rssFeedTrigger,slack,1.0
72,form-to-endpoint,webhook,googleSheets,0.5
73,morning-metrics,rssFeedTrigger,googleSheets,0.5
74,email-archiver,emailReadImap,readWriteFile,1.0
75,rss-alert,rssFeedTrigger,httpRequest,0.5
76,form-to-endpoint,webhook,httpRequest,1.0
77,morning-metrics,rssFeedTrigger,googleSheets,0.5
78,email-archiver,emailReadImap,readWriteFile,1.0
79,rss-alert,rssFeedTrigger,slack,1.0
80,form-to-endpoint,webhook,httpRequest,1.0
81,morning-metrics,scheduleTrigger,googleSheets,1.0
82,email-archiver,emailReadImap,readWriteFile,1.0
83,rss-alert,rssFeedTrigger,slack,1.0
84,form-to-endpoint,webhook,httpRequest,1.0
85,morning-metrics,scheduleTrigger,googleSheets,1.0
86,email-archiver,emailReadImap,readWriteFile,1.0
87,rss-alert,rssFeedTrigger,slack,1.0
88,form-to-endpoint,webhook,httpRequest,1.0
89,morning-metrics,scheduleTrigger,googleSheets,1.0
90,email-archiver,emailReadImap,readWriteFile,1.0
91,rss-alert,rssFeedTrigger,slack,1.0
92,form-to-endpoint,webhook,httpRequest,1.0
